canton,winter1_Polarity,spring1_Polarity,summer1_Polarity,fall1_Polarity,winter2_Polarity,spring2_Polarity,summer2_Polarity,fall2_Polarity,winter3_Polarity,spring3_Polarity,summer3_Polarity,fall3_Polarity,winter4_Polarity,spring4_Polarity,summer4_Polarity,fall4_Polarity,winter5_Polarity,spring5_Polarity,summer5_Polarity,fall5_Polarity
AG,971,4626,10231,8323,9194,12700,5021,8452,18095,15243,16383,9225,7192,8934,15848,25019,13802,16494,13996,1866
AI,5,250,206,111,88,140,53,124,60,245,180,134,61,77,339,272,202,221,339,27
AR,23,327,378,583,316,355,320,388,757,252,386,186,327,189,442,385,610,737,393,41
BE,2723,12634,26215,22864,26375,30598,12320,21718,33996,35016,36701,26250,27804,19624,36644,24161,38825,41107,40643,5633
BL,101,2129,5129,4774,5503,4816,1800,4275,8867,4763,9001,4014,3366,2462,4947,3737,5384,5660,3622,645
BS,540,4077,11408,10068,10380,10431,3079,5675,8584,9813,9512,7420,5847,4610,10120,6440,8470,13475,10095,1183
FR,217,9225,14770,20758,29214,33175,9090,14078,27811,20725,21956,9497,8119,5707,12122,9491,10529,10784,9045,1432
GE,2489,27479,64819,94526,244210,376275,109940,190248,254477,197132,220661,108388,90805,49440,93206,58558,78518,87890,70363,8863
GL,45,465,778,750,1098,1788,328,298,4287,555,568,3044,3064,1652,1698,603,296,263,248,43
GR,946,1973,5595,3358,9573,6576,1982,3041,18420,4787,6244,2973,11039,2042,6441,2900,11523,6989,7412,653
JU,15,2008,6789,4171,3665,3718,689,2359,4484,1750,2359,1638,4874,1100,1541,1126,1762,2501,1421,159
LU,619,4541,7598,7960,9533,11714,4184,7447,16524,15015,18778,9742,13379,7137,13096,7482,11005,18476,11835,3584
NE,566,2626,8135,15514,44615,61267,16941,30223,37883,31491,28603,17799,12297,6141,10231,6155,8769,11023,8496,1745
NW,35,404,940,1540,2524,1733,674,867,4396,1074,1536,725,860,340,1259,801,568,858,956,109
OW,50,939,2356,784,1257,1925,589,2330,3047,3728,5039,3892,11105,5809,11973,13581,12379,7796,6933,930
SG,736,3313,6755,7864,8598,10466,3547,7796,16741,8935,10635,6568,5320,3919,6954,6005,6910,8221,7856,1013
SH,30,446,900,881,715,962,208,665,4316,1086,1401,735,695,481,1288,829,860,1063,2856,172
SO,287,2739,4216,4292,4587,4937,1652,2775,9134,5734,6226,3773,3175,2622,5080,2854,8752,5523,5098,558
SZ,118,730,1801,2064,1789,2599,1809,1221,3168,1433,1680,963,1105,745,2754,1403,1762,2203,2494,318
TG,117,2586,3666,3676,4815,4941,1623,2447,5626,4608,9941,4036,6486,4383,2691,1668,2703,4596,3495,369
TI,317,5388,12597,9266,13057,9946,3424,5298,7350,8496,14632,6278,5446,3730,7400,4939,7634,8523,8847,1025
UR,86,206,639,411,407,786,233,238,1442,416,1014,1609,348,177,720,343,402,573,1077,82
VD,1980,20208,53001,79702,85620,110015,33092,69000,97824,89068,93827,53444,43523,25551,48667,36239,39578,46794,47175,5699
VS,1355,9109,21569,21346,37602,50832,14865,22355,45453,36428,40930,20964,25018,13748,29375,16710,28916,25837,23288,2572
ZG,557,2052,3470,2644,2808,2967,1037,2530,5492,7796,4120,2857,2954,2038,4428,2721,3384,5120,3748,587
ZH,7206,31264,61214,56957,63818,68600,21866,53938,71357,76781,86928,54717,58039,39360,75473,57056,69203,82147,73425,10079
